"rew_mean","+25%","-25%","init_rew_mean","init_rew + 25%","init_rew - 25%"
-0.9,-0.8,-0.99,-0.8,-0.78,-0.83
-0.88,-0.79,-1.02,-0.79,-0.782,-0.831
-0.87,-0.802,-1.045,-0.788,-0.768,-0.855
-0.84,-0.794,-1.042,-0.782,-0.755,-0.86
-0.82,-0.755,-1.033,-0.78,-0.742,-0.828
-0.814,-0.742,-1.019,-0.766,-0.708,-0.83
-0.812,-0.718,-1.011,-0.764,-0.699,-0.831
-0.803,-0.712,-1.011,-0.762,-0.688,-0.845
-0.801,-0.705,-1.012,-0.761,-0.682,-0.83
-0.799,-0.698,-1.009,-0.758,-0.645,-0.828
-0.768,-0.692,-1.007,-0.754,-0.602,-0.88
-0.766,-0.674,-1.003,-0.752,-0.632,-0.821
-0.763,-0.664,-1.001,-0.751,-0.631,-0.88
-0.761,-0.631,-1,-0.748,-0.628,-0.82
-0.755,-0.62,-0.989,-0.745,-0.621,-0.821
-0.752,-0.618,-0.977,-0.742,-0.614,-0.802
-0.748,-0.614,-0.988,-0.742,-0.618,-0.88
-0.748,-0.608,-0.982,-0.741,-0.622,-0.883
-0.747,-0.601,-0.98,-0.739,-0.631,-0.841
-0.746,-0.559,-0.995,-0.738,-0.618,-0.831
-0.745,-0.548,-0.992,-0.73,-0.622,-0.828
-0.743,-0.548,-0.909,-0.729,-0.64,-0.808
-0.728,-0.548,-0.901,-0.718,-0.641,-0.809
-0.71,-0.547,-0.9,-0.714,-0.644,-0.802
-0.699,-0.544,-0.917,-0.708,-0.655,-0.803
-0.68,-0.543,-0.912,-0.701,-0.612,-0.805
-0.672,-0.54,-0.915,-0.7,-0.615,-0.805
-0.666,-0.532,-0.931,-0.698,-0.628,-0.808
-0.662,-0.528,-0.913,-0.694,-0.633,-0.807
-0.64,-0.521,-0.922,-0.69,-0.558,-0.787
-0.631,-0.502,-0.956,-0.688,-0.57,-0.798
-0.621,-0.518,-0.945,-0.683,-0.572,-0.799
-0.609,-0.501,-0.928,-0.677,-0.58,-0.767
-0.608,-0.499,-0.909,-0.675,-0.559,-0.782
-0.604,-0.487,-0.913,-0.673,-0.55,-0.781
-0.605,-0.482,-0.911,-0.665,-0.552,-0.78
-0.606,-0.469,-0.921,-0.663,-0.551,-0.768
-0.616,-0.464,-0.944,-0.66,-0.548,-0.755
-0.601,-0.428,-0.914,-0.648,-0.53,-0.745
-0.588,-0.433,-0.942,-0.642,-0.54,-0.766
-0.552,-0.421,-0.88,-0.641,-0.542,-0.762
-0.522,-0.405,-0.858,-0.631,-0.541,-0.782
-0.501,-0.401,-0.848,-0.63,-0.548,-0.747
-0.498,-0.4,-0.822,-0.628,-0.542,-0.755
-0.492,-0.398,-0.816,-0.621,-0.532,-0.758
-0.49,-0.394,-0.814,-0.601,-0.548,-0.782
-0.482,-0.392,-0.812,-0.588,-0.55,-0.733
-0.481,-0.39,-0.808,-0.561,-0.544,-0.721
-0.433,-0.388,-0.802,-0.55,-0.541,-0.741
-0.422,-0.382,-0.8,-0.548,-0.538,-0.72
-0.412,-0.384,-0.798,-0.542,-0.531,-0.73
-0.415,-0.355,-0.785,-0.545,-0.544,-0.717
-0.401,-0.354,-0.744,-0.548,-0.54,-0.715
-0.398,-0.321,-0.766,-0.542,-0.53,-0.712
-0.396,-0.322,-0.735,-0.551,-0.532,-0.702
-0.394,-0.311,-0.732,-0.555,-0.55,-0.701
-0.392,-0.334,-0.728,-0.557,-0.55,-0.7
-0.39,-0.341,-0.722,-0.558,-0.552,-0.698
-0.385,-0.321,-0.718,-0.551,-0.55,-0.693
-0.382,-0.32,-0.714,-0.552,-0.538,-0.69
-0.381,-0.342,-0.703,-0.553,-0.544,-0.681
-0.378,-0.345,-0.7,-0.549,-0.541,-0.677
-0.376,-0.35,-0.698,-0.547,-0.541,-0.673
-0.374,-0.358,-0.692,-0.549,-0.538,-0.67
-0.371,-0.367,-0.68,-0.559,-0.55,-0.666
-0.37,-0.355,-0.644,-0.548,-0.541,-0.689
-0.36,-0.342,-0.651,-0.548,-0.542,-0.655
-0.369,-0.348,-0.63,-0.55,-0.549,-0.642
-0.368,-0.342,-0.618,-0.551,-0.544,-0.631
-0.367,-0.355,-0.602,-0.552,-0.544,-0.628
-0.365,-0.329,-0.598,-0.548,-0.538,-0.6
-0.364,-0.334,-0.59,-0.549,-0.531,-0.621
-0.362,-0.348,-0.578,-0.553,-0.544,-0.613
-0.36,-0.342,-0.566,-0.556,-0.548,-0.608
-0.358,-0.339,-0.552,-0.558,-0.55,-0.602
-0.358,-0.341,-0.54,-0.548,-0.541,-0.598
-0.357,-0.322,-0.53,-0.549,-0.54,-0.597
-0.357,-0.328,-0.532,-0.552,-0.528,-0.59
-0.357,-0.34,-0.509,-0.553,-0.529,-0.594
-0.356,-0.345,-0.507,-0.555,-0.53,-0.599
-0.355,-0.35,-0.503,-0.551,-0.531,-0.58
-0.354,-0.351,-0.5,-0.552,-0.541,-0.585
-0.352,-0.347,-0.48,-0.55,-0.544,-0.582
-0.349,-0.343,-0.46,-0.552,-0.545,-0.581
-0.348,-0.345,-0.444,-0.551,-0.548,-0.584
-0.35,-0.346,-0.428,-0.549,-0.548,-0.582
-0.351,-0.347,-0.417,-0.548,-0.548,-0.581
-0.352,-0.346,-0.422,-0.547,-0.547,-0.577
-0.351,-0.343,-0.43,-0.542,-0.54,-0.573
-0.349,-0.344,-0.421,-0.548,-0.531,-0.566
-0.351,-0.341,-0.418,-0.547,-0.541,-0.565
-0.352,-0.35,-0.412,-0.554,-0.55,-0.56
-0.353,-0.349,-0.411,-0.558,-0.552,-0.566
-0.355,-0.35,-0.406,-0.559,-0.557,-0.56
-0.348,-0.348,-0.405,-0.56,-0.558,-0.562
-0.349,-0.349,-0.402,-0.548,-0.54,-0.566
-0.35,-0.346,-0.421,-0.552,-0.55,-0.57
-0.351,-0.344,-0.401,-0.551,-0.55,-0.572
-0.349,-0.339,-0.388,-0.553,-0.552,-0.558
-0.35,-0.342,-0.382,-0.555,-0.553,-0.561
